product_id,product_name,category,image_url,description,base_price_inr,current_bid_inr,bid_start_time_ist,bid_end_time_ist,status,total_bids,condition,seller
PRD001,Samsung Galaxy S25 Ultra,Mobile,https://images.unsplash.com/photo-1610945415295-d9bbf067e59c?w=400,Premium quality Samsung Galaxy S25 Ultra - ideal for everyday use,"84,800","98,565",2026-05-08 12:30:00 IST,2026-05-08 16:15:00 IST,LIVE,8,Brand New,ArtGallery IN
PRD002,Apple iPhone 16 Pro Max,Mobile,https://images.unsplash.com/photo-1695048133142-1a20484d2569?w=400,Premium quality Apple iPhone 16 Pro Max - ideal for everyday use,"1,48,700","1,57,764",2026-05-08 13:30:00 IST,2026-05-08 21:45:00 IST,LIVE,8,Like New,GadgetMart
PRD003,OnePlus 13 Pro,Mobile,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400,Premium quality OnePlus 13 Pro - ideal for everyday use,"24,500","29,325",2026-05-08 07:00:00 IST,2026-05-08 20:00:00 IST,LIVE,37,Like New,HomeEssentials
PRD004,Google Pixel 9 Pro,Mobile,https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=400,Premium quality Google Pixel 9 Pro - ideal for everyday use,"14,700","18,461",2026-05-05 09:30:00 IST,2026-05-06 14:00:00 IST,ENDED,40,Brand New,QuickBid Store
PRD005,Xiaomi 14 Ultra,Mobile,https://images.unsplash.com/photo-1556656793-08538906a9f8?w=400,Premium quality Xiaomi 14 Ultra - ideal for everyday use,"1,13,400","1,64,674",2026-05-03 10:00:00 IST,2026-05-04 14:00:00 IST,ENDED,36,Refurbished,GadgetMart
PRD006,Realme GT 6 Pro,Mobile,https://images.unsplash.com/photo-1580910051074-3eb694886505?w=400,Premium quality Realme GT 6 Pro - ideal for everyday use,"41,100","41,100",2026-05-08 23:30:00 IST,2026-05-09 02:30:00 IST,UPCOMING,0,Like New,HomeEssentials
PRD007,Vivo X100 Pro,Mobile,https://images.unsplash.com/photo-1601784551446-20c9e07cdbdb?w=400,Premium quality Vivo X100 Pro - ideal for everyday use,"42,000","42,000",2026-05-09 10:15:00 IST,2026-05-09 18:15:00 IST,UPCOMING,0,Refurbished,ArtGallery IN
PRD008,Oppo Find X8 Pro,Mobile,https://images.unsplash.com/photo-1565849904461-04a58ad377e0?w=400,Premium quality Oppo Find X8 Pro - ideal for everyday use,"1,67,300","1,67,300",2026-05-09 08:15:00 IST,2026-05-09 11:15:00 IST,UPCOMING,0,Like New,QuickBid Store
PRD009,Nothing Phone 3,Mobile,https://images.unsplash.com/photo-1592899677977-9c10ca588bbd?w=400,Premium quality Nothing Phone 3 - ideal for everyday use,"1,75,700","1,75,700",2026-05-13 14:30:00 IST,2026-05-13 19:30:00 IST,UPCOMING,0,Brand New,FashionHub
PRD010,Motorola Edge 50 Ultra,Mobile,https://images.unsplash.com/photo-1567581935884-3349723552ca?w=400,Premium quality Motorola Edge 50 Ultra - ideal for everyday use,"1,21,000","1,21,000",2026-05-10 09:30:00 IST,2026-05-10 14:30:00 IST,UPCOMING,0,Like New,TechZone India
PRD011,Apple Watch Series 10,Watch,https://images.unsplash.com/photo-1546868871-7041f2a55e12?w=400,Premium quality Apple Watch Series 10 - ideal for everyday use,"2,14,200","2,40,553",2026-05-08 08:45:00 IST,2026-05-08 23:30:00 IST,LIVE,34,Like New,TechZone India
PRD012,Samsung Galaxy Watch 7,Watch,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=400,Premium quality Samsung Galaxy Watch 7 - ideal for everyday use,"3,29,200","3,87,686",2026-05-08 12:30:00 IST,2026-05-08 18:00:00 IST,LIVE,19,Brand New,QuickBid Store
PRD013,Rolex Submariner Date,Watch,https://images.unsplash.com/photo-1587836374828-4dbafa94cf0e?w=400,Premium quality Rolex Submariner Date - ideal for everyday use,"2,85,600","3,06,455",2026-05-08 13:30:00 IST,2026-05-08 21:45:00 IST,LIVE,17,Like New,ArtGallery IN
PRD014,Titan Raga Gold Edition,Watch,https://images.unsplash.com/photo-1614164185128-e4ec99c436d7?w=400,Premium quality Titan Raga Gold Edition - ideal for everyday use,"8,23,600","11,40,020",2026-05-05 11:00:00 IST,2026-05-06 17:00:00 IST,ENDED,9,Brand New,QuickBid Store
PRD015,Fastrack Reflex Smartwatch,Watch,https://images.unsplash.com/photo-1508057198894-247b23fe5ade?w=400,Premium quality Fastrack Reflex Smartwatch - ideal for everyday use,"1,43,800","1,60,767",2026-05-04 12:00:00 IST,2026-05-05 20:30:00 IST,ENDED,8,Refurbished,ArtGallery IN
PRD016,Garmin Fenix 8 Solar,Watch,https://images.unsplash.com/photo-1434494878577-86c23bcb06b9?w=400,Premium quality Garmin Fenix 8 Solar - ideal for everyday use,"25,400","25,400",2026-05-08 20:30:00 IST,2026-05-08 22:30:00 IST,UPCOMING,0,Like New,GadgetMart
PRD017,Fossil Gen 6 Hybrid,Watch,https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=400,Premium quality Fossil Gen 6 Hybrid - ideal for everyday use,"2,20,000","2,20,000",2026-05-09 11:00:00 IST,2026-05-09 15:00:00 IST,UPCOMING,0,Brand New,TechZone India
PRD018,Casio G-Shock GWM5610,Watch,https://images.unsplash.com/photo-1585386959984-a4155224a1ad?w=400,Premium quality Casio G-Shock GWM5610 - ideal for everyday use,"5,76,400","5,76,400",2026-05-09 14:45:00 IST,2026-05-09 17:45:00 IST,UPCOMING,0,Refurbished,QuickBid Store
